%ID	PROTEINA	BandaLogInv1	BandaLogInv2	BandaLogInv3	BandaLogInv4	BandaLogInv5	BandaLogInv6	BandaLogInv7	BandaLogInv8	BandaLogInv9	BandaLogInv10	BandaLogInv11	BandaLogInv12	BandaLogInv13	BandaLogInv14	BandaLogInv15	BandaLogInv16	BandaLogInv17	BandaLogInv18	BandaLogInv19	BandaLogInv20	BandaLogInv21	BandaLogInv22	BandaLogInv23	BandaLogInv24	BandaLogInv25
27	67.76	2.300438258	2.410246661	2.502856918	2.587125226	2.655309687	2.712099231	2.758181611	2.798337171	2.819833613	2.82041479	2.799639439	2.778912452	2.751610958	2.721511843	2.688073803	2.651853067	2.611123465	2.566811664	2.522433004	2.477680557	2.433509782	2.390360046	2.349112038	2.30971686	2.272852948
28	67.72	2.341593279	2.454609944	2.553894026	2.636360435	2.713774968	2.772708756	2.8244904	2.864196163	2.88859763	2.887789613	2.865929931	2.841668552	2.810970832	2.778540607	2.739138666	2.697107122	2.65217736	2.605718594	2.559497751	2.517980731	2.478898493	2.441782394	2.405394145	2.370264287	2.337516649
29	68.25	2.395208845	2.516224525	2.619478001	2.716079415	2.795740316	2.858072447	2.910293064	2.949545162	2.976096683	2.977267243	2.956691051	2.932713742	2.903583673	2.870569113	2.833911505	2.792163628	2.746831419	2.699865983	2.65320811	2.608997317	2.56648406	2.52460719	2.483811503	2.446428148	2.409349987
30	66.99	2.339903785	2.452537974	2.553986139	2.638583679	2.719791665	2.780292754	2.825629679	2.866108649	2.891053354	2.889883906	2.868264611	2.845689029	2.815213811	2.782992366	2.745043716	2.702792334	2.658995823	2.613103392	2.567893574	2.527172699	2.48771757	2.450061305	2.412731532	2.377286889	2.342796214
31	67	2.384341059	2.50308037	2.603397097	2.695701059	2.77480873	2.833684254	2.885714442	2.927378887	2.956177209	2.956574904	2.937744837	2.916551475	2.889147177	2.861525766	2.827097604	2.787542899	2.745913122	2.698631121	2.653585615	2.608560553	2.564162128	2.521182082	2.480296784	2.439986702	2.402766742
32	67.07	2.461170277	2.577133287	2.682436664	2.774351391	2.855857159	2.919225859	2.971417895	3.015883736	3.041617089	3.043804037	3.022286786	2.998517049	2.967859831	2.935300242	2.895590089	2.853748691	2.809598417	2.759086366	2.711224829	2.667445967	2.623983948	2.582832442	2.543723812	2.506268	2.470053546
33	68.11	2.379463979	2.492805232	2.599861556	2.698443222	2.770617945	2.825050358	2.872546804	2.918061934	2.948355401	2.950530935	2.929572582	2.905262906	2.877049454	2.843054192	2.808939153	2.769251114	2.720771462	2.671201451	2.625469864	2.582215141	2.539935677	2.497699218	2.451983116	2.411993991	2.375353211
34	69.06	2.466018702	2.583738043	2.695939728	2.798101482	2.876826093	2.931014793	2.977129755	3.024091398	3.05684154	3.057251091	3.036737286	3.011268883	2.983811715	2.950499473	2.915220555	2.875495893	2.826590175	2.778849306	2.732993358	2.690311774	2.649892128	2.608289254	2.563685587	2.52489047	2.489760541
35	67.94	2.529095613	2.653207094	2.762210194	2.861965683	2.946059933	3.012796633	3.063565132	3.109381585	3.136752025	3.137691347	3.114529791	3.089773005	3.059398981	3.023796516	2.984789676	2.941988869	2.895343239	2.847076589	2.798567661	2.754777937	2.710751319	2.669117119	2.629450465	2.591979596	2.555469436
36	67.82	2.285852026	2.393406569	2.492619135	2.589072957	2.661970241	2.706988568	2.751344709	2.792700091	2.823000906	2.8259276	2.806530408	2.786380516	2.76300097	2.736526509	2.706045833	2.667938074	2.621569691	2.575542782	2.533649478	2.49747996	2.463261489	2.427910984	2.384506633	2.347686027	2.314958727
37	67.62	2.346203739	2.460547357	2.55846542	2.648294396	2.721674203	2.782560181	2.829778604	2.867729635	2.896536985	2.89488825	2.872309793	2.849612439	2.81966251	2.787719798	2.750664771	2.709118096	2.666624897	2.619921499	2.57491553	2.533456324	2.49282764	2.45386654	2.416201823	2.380914118	2.346995977
38	70.14	2.39362856	2.503740744	2.607275234	2.706814697	2.782460957	2.83563155	2.885232131	2.925593491	2.955818023	2.953887489	2.93134091	2.905512944	2.876475037	2.842586493	2.808278674	2.769123789	2.722384976	2.674667035	2.631621422	2.589554657	2.550520756	2.510320523	2.467399134	2.430943244	2.39605667
39	69.99	2.380264695	2.498192506	2.596555284	2.682709369	2.758367406	2.815646864	2.860582955	2.898772729	2.92176714	2.918959741	2.895975842	2.873357297	2.844626926	2.814098729	2.778829015	2.739763102	2.699601066	2.657376264	2.615252618	2.577991745	2.541451572	2.50585024	2.471022785	2.439614126	2.407166885
40	68.58	2.382094277	2.496464624	2.597020162	2.684933546	2.7554543	2.817350519	2.858211375	2.898755446	2.921928241	2.919108349	2.897512922	2.876276323	2.847991073	2.819781065	2.787246674	2.75008536	2.710671825	2.668879203	2.627490836	2.587523202	2.548996275	2.51261338	2.474730637	2.439186177	2.403925913
41	70.79	2.328585367	2.439622561	2.539641653	2.633452481	2.708365445	2.762501297	2.81036397	2.85241182	2.877850531	2.876668708	2.856835797	2.831308961	2.801480802	2.767679872	2.730742489	2.691907151	2.645744819	2.598338501	2.55335351	2.509275892	2.466543278	2.423617688	2.378918516	2.339091104	2.303011963
42	67.47	2.475217044	2.59977997	2.704009868	2.805047662	2.881512142	2.935637418	2.984533321	3.032316178	3.064782906	3.064299791	3.044500773	3.019502354	2.992183789	2.960579852	2.927090917	2.891184729	2.844768374	2.798807116	2.756441303	2.715949636	2.677471068	2.63842973	2.597074918	2.560528164	2.526684235
43	70.67	2.294229253	2.405277369	2.50642826	2.596742719	2.669593751	2.724449674	2.768870454	2.811560205	2.840099984	2.836075469	2.817335252	2.792418393	2.763180984	2.731256109	2.695851859	2.657783814	2.612912486	2.567201014	2.522539428	2.479633484	2.437005608	2.394614802	2.3503996	2.311487771	2.275030878
44	67.89	2.169556733	2.273167226	2.370721352	2.460361348	2.528106931	2.572345364	2.614070495	2.657349961	2.691440998	2.693673681	2.67426056	2.651371712	2.625489768	2.595195797	2.563705563	2.522418566	2.472569618	2.423474717	2.378043913	2.335906011	2.29782265	2.258458845	2.212509916	2.172289417	2.137346094
45	68.08	2.072663055	2.158869123	2.236773661	2.316232228	2.373356461	2.411311862	2.447530871	2.478995806	2.503947691	2.498438008	2.477648492	2.453699271	2.428589765	2.401655793	2.374284716	2.342641501	2.304725132	2.267491321	2.231956514	2.199701902	2.168228178	2.135566951	2.100168658	2.070296621	2.043300182
46	68.44	2.403862407	2.520797878	2.623326122	2.718708399	2.797875014	2.861904371	2.912059298	2.957552903	2.979526576	2.981343478	2.960516599	2.936749394	2.909155708	2.879317162	2.841775363	2.801951736	2.75897087	2.715334694	2.670508871	2.630781983	2.592161316	2.55482712	2.519438003	2.484638632	2.451270053
47	68.78	2.3505492	2.462628307	2.565568965	2.660601461	2.734619809	2.787568597	2.833948433	2.873874069	2.903062265	2.902600021	2.880778292	2.855632848	2.827672837	2.795797312	2.762212586	2.725144103	2.68044804	2.637212517	2.595553886	2.556836277	2.519699891	2.482418476	2.441013966	2.405421441	2.372323451
48	68.26	2.43497938	2.555507603	2.657257681	2.748544388	2.827303376	2.887849	2.93664978	2.977925636	3.003564372	3.00108289	2.978527877	2.954293696	2.927419359	2.897027554	2.860854512	2.821308409	2.780041893	2.734453466	2.691072383	2.649339116	2.609089976	2.570142967	2.533152909	2.496626241	2.462238829
49	68.2	2.370420419	2.489772022	2.587783716	2.680406708	2.756149799	2.817970823	2.867476558	2.909680049	2.935773174	2.935265625	2.912451677	2.888279694	2.856743003	2.822957724	2.782541068	2.738575823	2.692791773	2.644491393	2.598067743	2.555591851	2.515014575	2.476695431	2.438640202	2.4032164	2.36971185
50	68.95	2.42085638	2.537032235	2.646851972	2.738511453	2.811493707	2.866260399	2.910043981	2.95700366	2.983136599	2.980406934	2.960181174	2.933957904	2.904371684	2.87264213	2.83741401	2.80250298	2.758560293	2.715362446	2.673895024	2.632594222	2.593544283	2.553530823	2.512239611	2.476338938	2.441998044
51	69.04	2.091734295	2.179072395	2.26172091	2.338294945	2.392212601	2.432611074	2.463315879	2.496956675	2.520730232	2.51348074	2.49365733	2.469620267	2.445095439	2.420048282	2.393019896	2.363219817	2.327231459	2.291800233	2.258688041	2.226716941	2.195791389	2.163104337	2.127217933	2.096625466	2.068175131
52	66	2.395677174	2.512858867	2.620137424	2.715256906	2.790854016	2.853684431	2.908239265	2.951469567	2.979237506	2.97937896	2.96023278	2.937746525	2.908069501	2.876536437	2.836578581	2.793686204	2.748917512	2.700007622	2.653574773	2.61119632	2.569911627	2.529845076	2.490978529	2.454300379	2.418969049
53	67.15	2.506557174	2.632900021	2.73569048	2.836832844	2.917785755	2.982538561	3.037423518	3.08180597	3.108246527	3.109672701	3.085010235	3.060650886	3.031259745	2.998218571	2.957144261	2.912917181	2.869259046	2.818911328	2.769623358	2.727723099	2.685475497	2.646715057	2.6086823	2.572441899	2.536891744
54	66.93	2.447356894	2.566929028	2.672458126	2.771950825	2.852690918	2.918379254	2.973288293	3.015809585	3.040002939	3.04135794	3.019259902	2.99818334	2.966920374	2.933799674	2.897969431	2.856328548	2.814410546	2.768234579	2.722256191	2.681890606	2.640787457	2.601828727	2.565372288	2.531882213	2.498249385
55	67.06	2.458330444	2.581566061	2.687613231	2.783585475	2.864897709	2.929100006	2.981487308	3.027143631	3.051707345	3.052772946	3.030936386	3.007731182	2.979935547	2.94913697	2.910501137	2.867799246	2.826100853	2.777547989	2.731631721	2.690625342	2.650328582	2.611753813	2.574018871	2.537421094	2.502951831
56	69.54	2.385415155	2.493187342	2.597945867	2.695744765	2.770468673	2.823809363	2.864487984	2.906901894	2.936856139	2.932412701	2.911509369	2.883627681	2.853006147	2.819131949	2.78355856	2.744699685	2.697371349	2.651153895	2.608476041	2.567306094	2.529412688	2.489981541	2.447304307	2.411603389	2.377686597
57	67.91	2.45022845	2.565345842	2.672334117	2.761590523	2.836611708	2.89260644	2.94668946	2.989911717	3.017378663	3.016916407	2.997398576	2.975054631	2.949554804	2.918226303	2.883922207	2.85052151	2.810495963	2.770289088	2.727771816	2.684328847	2.640551141	2.601437213	2.56206529	2.524996759	2.490723622
58	65.55	2.081535426	2.175260127	2.256942021	2.334907669	2.392068181	2.429428334	2.460652376	2.495324659	2.520884988	2.518340472	2.499495166	2.476815789	2.455899418	2.431456518	2.406834906	2.375496948	2.337734293	2.301175808	2.26731847	2.235950668	2.205914355	2.173960455	2.137157759	2.105571361	2.077250213
59	68.58	2.383915116	2.500974133	2.606973129	2.704351616	2.782576211	2.838593292	2.885727975	2.933373616	2.963538957	2.961073958	2.941860855	2.91605098	2.8855418	2.849145922	2.810620771	2.771661057	2.723148227	2.675477478	2.629119625	2.583325594	2.540373195	2.498032472	2.45337545	2.414262456	2.377514178
60	68.15	2.496037648	2.620529036	2.729062521	2.827901214	2.908622131	2.975982236	3.030641701	3.075666324	3.104685865	3.101217487	3.078258353	3.053366373	3.020876234	2.98708682	2.950654857	2.909987276	2.866542865	2.819405543	2.772793339	2.732265507	2.691447127	2.651449194	2.614400193	2.579757793	2.547031474
61	66.42	2.403403487	2.526143036	2.633239694	2.730310898	2.808629796	2.863036868	2.913192678	2.958084682	2.990209465	2.991719608	2.971430001	2.946202144	2.919945142	2.885700339	2.852951138	2.81334171	2.765709359	2.71725706	2.671616085	2.62780702	2.586174215	2.543645642	2.497817829	2.457693111	2.421093501
62	68.73	2.517750942	2.642920474	2.752478925	2.852016407	2.93115883	2.999389673	3.05535033	3.099395497	3.12541383	3.125692675	3.104481958	3.07885803	3.048688226	3.017337713	2.97807581	2.934669128	2.891758202	2.843265424	2.79719393	2.754740727	2.714256932	2.674765608	2.637642165	2.602348534	2.568214588
